caractéristique,importance_shap
worst area,0.07306480757661543
worst concave points,0.06047154465504744
worst radius,0.04777000210330208
worst perimeter,0.04223770742192081
mean concave points,0.0415096482769556
mean concavity,0.032813602738811294
mean perimeter,0.0279828971654841
mean radius,0.026470446043218385
mean area,0.02436932356097362
area error,0.0224873417566283
worst concavity,0.020093199603105447
worst texture,0.013137254640599387
radius error,0.01119384119642411
mean texture,0.00840061040022895
worst smoothness,0.007784774767474896
worst compactness,0.007616432528398575
perimeter error,0.005869276261090076
worst symmetry,0.004458680542219119
mean compactness,0.003829692884137467
mean smoothness,0.0032248516578722982
worst fractal dimension,0.0023732995865022866
concave points error,0.0016786144792539305
concavity error,0.0015403197881606193
compactness error,0.0014515323248267952
fractal dimension error,0.001394556322000669
texture error,0.0013356476704435916
smoothness error,0.0012223768508710675
symmetry error,0.0011262691669649287
mean symmetry,0.0010807364292369022
mean fractal dimension,0.0009617897151585016
